fips,hh_size,hh_income,cost_housing,n_vehicles,hh_share_nonwhite,i_renter,i_moved,i_foodstamp,i_smartphone,i_internet,time_commuting
13000,4,18.51,1300,4,0,0,1,0,1,1,50
10003,5,13.8,1600,2,0,0,0,0,1,1,24
08069,2,4.25,980,1,0,1,0,0,1,1,40
17031,2,27.578,2000,1,0,0,1,0,1,1,10
32003,1,2.2,790,1,0,0,0,0,1,1,10
53061,3,8.4,1600,2,0,1,0,0,1,1,43.333333333333336
13135,2,29,1600,2,0,0,0,0,1,1,10
48029,4,9.621,680,2,0,0,0,1,1,1,67.5
48085,3,15,3200,3,1,0,1,0,1,1,20
41039,2,7.2,1100,3,0,0,0,0,1,1,50
36000,1,1,930,0,1,1,0,0,1,1,40
48201,1,8.5,1400,1,0,0,0,0,1,1,50
13000,3,13.9,1600,2,0,0,0,0,1,1,10
55105,5,9.52,1000,5,0.2,0,0,0,1,1,36
23000,1,3,750,1,0,1,0,0,1,0,6
49057,3,3,800,1,0,1,1,1,1,1,6.666666666666667
36000,5,17.22,1000,2,0,0,0,0,1,1,12
47157,1,9.8,780,1,0,1,0,0,1,1,20
37067,1,7.3,760,1,0,1,0,0,1,1,50
36081,2,2.8,1700,0,0,1,1,0,1,1,75
55025,3,4.5,450,4,0,0,0,0,1,1,10
34013,1,2.7,780,1,1,1,0,0,1,1,16
06083,1,9,2700,1,0,1,1,0,1,1,46
21000,3,13.8,900,5,0,0,0,0,1,1,6.666666666666667
06037,2,9.32,1500,2,0.5,0,0,0,1,1,60
32031,5,13.77,1400,3,0.2,0,0,0,1,1,18
29189,2,11,600,2,0.5,0,0,0,1,1,75
37119,1,31.2,1600,1,0,0,0,0,1,1,40
32003,3,10.42,560,3,0,0,0,0,0,1,43.333333333333336
06085,2,1.05,3000,3,1,0,0,0,1,1,50
17031,3,15,1300,3,1,0,0,0,1,1,20
21000,4,0.19,850,1,0,1,0,0,1,1,14
47000,2,0.96,540,1,1,1,0,1,1,1,45
34019,4,11.2,2200,4,0,0,0,0,1,1,15
48453,3,17.1,2000,2,0.6666666666666666,1,0,0,1,1,30
12000,3,7.6,1000,2,0,0,0,0,1,1,16
45000,3,3.8,550,2,0,1,0,1,1,1,10
12099,3,8.576,2300,2,0,1,1,0,1,1,4.666666666666667
36029,1,6,1700,1,0,0,0,0,1,1,90
37000,1,3.03,520,1,1,0,0,0,1,1,24
48000,3,16.87,1900,3,0,0,0,0,1,1,37.333333333333336
25000,1,1.85,570,1,1,1,0,0,0,0,10
42091,1,5.5,950,1,0,0,0,0,1,1,40
53053,2,59.14,1800,2,0,0,0,0,1,1,10
51810,2,13.39,1200,2,1,0,0,0,1,1,20
08000,3,7.2,340,6,0,0,0,0,1,1,6.666666666666667
29000,4,17.43,1100,3,0,0,1,0,1,1,5
27000,4,8.8,650,3,0,0,0,0,1,1,21.5
42017,3,30.06,1800,3,0,0,0,0,1,1,302
12000,1,10.5,2200,2,0,1,0,0,1,1,70
05000,1,12.66,860,1,0,0,0,0,1,1,60
56000,4,14.21,1200,4,0.25,0,0,0,1,1,37.5
36081,4,12.17,1300,1,1,0,0,1,1,1,22.5
29189,1,7.8,980,1,0,1,0,0,1,1,60
36001,2,12.2,1700,2,0,0,0,0,1,1,12
48439,2,11.5,980,2,0,0,0,0,1,1,40
27000,2,4.35,530,2,0,0,0,0,0,1,30
42000,2,6,750,3,0,0,1,0,1,1,26
25000,2,40.65,6200,2,0,0,0,0,1,1,20
12101,4,6.855,600,2,0,1,1,1,1,1,20
36005,2,3.6,890,0,1,1,0,0,1,0,135
51510,1,50,3400,1,0,1,0,0,1,1,90
37021,3,12.37,1600,3,0,0,0,0,1,1,53.333333333333336
12115,4,9.86,740,2,0,0,0,0,1,1,15
17161,2,6.7,750,2,0,0,0,0,1,1,17
36005,4,4,1500,0,1,1,1,0,1,1,70
06037,3,7.8,1600,2,1,1,0,0,1,1,104
17037,5,11.3,1400,2,0,0,0,0,1,1,4
29095,2,0.62,1600,2,0,1,1,0,1,1,10
