t,month,generation_gwh,emissions_so2,emissions_nox,n_plants,n_retirements,cumulative_retirements,i_cair,i_csapr
1,2005-01-01,244990.71127,893066.597,386514.797,2963,0,0,0,0
2,2005-02-01,210243.14081,779573.204,331994.003,2649,0,0,0,0
3,2005-03-01,220979.40137,846289.072,352709.43,2755,0,0,0,0
4,2005-04-01,197315.6636,726704.406,292892.244,2892,4,4,0,0
5,2005-05-01,213832.29886,720495.474,219919.11,3396,7,11,0,0
6,2005-06-01,261433.95688,873953.795,260705.477,3878,9,20,0,0
7,2005-07-01,297113.43237,966269.969,286936.258,3999,1,21,0,0
8,2005-08-01,301504.92248,990836.031,296597.061,3993,1,22,0,0
9,2005-09-01,256406.21391,892475.785,259563.095,3743,2,24,0,0
10,2005-10-01,224355.4111,832881.404,333760.252,2906,2,26,0,0
11,2005-11-01,212227.31772,786834.492,327186.406,2790,0,26,0,0
12,2005-12-01,241537.68675,916196.464,378824.99,2965,4,30,0,0
13,2006-01-01,248502.82247,793358.998,345492.973,2611,1,31,0,0
14,2006-02-01,235566.82136,770261.806,329520.257,2793,0,31,0,0
15,2006-03-01,256637.92232,784943.111,331262.787,2749,0,31,0,0
16,2006-04-01,232126.02857,690018.015,278007.473,2891,0,31,0,0
17,2006-05-01,249902.95082,735566.789,216733.448,3684,7,38,0,0
18,2006-06-01,278506.83314,802092.725,238259.711,3767,1,39,0,0
19,2006-07-01,334165.81384,914260.768,274436.071,4090,2,41,0,0
20,2006-08-01,327687.30476,923700.301,276552.94,4110,0,41,0,0
21,2006-09-01,264696.55298,724024.02,223596.154,3418,1,42,0,0
22,2006-10-01,262740.24266,745168.913,316272.784,2977,0,42,0,0
23,2006-11-01,245441.20044,736356.57,317836.134,2885,1,43,0,0
24,2006-12-01,265259.41031,777449.694,344279.793,2939,9,52,0,0
25,2007-01-01,271398.49118,791456.656,347629.41,2972,0,52,0,0
26,2007-02-01,261782.03423,780325.529,333110.725,3018,4,56,0,0
27,2007-03-01,241131.06646,735508.108,314360.537,2898,3,59,0,0
28,2007-04-01,240276.59897,675011.155,270107.519,2992,2,61,0,0
29,2007-05-01,255002.28737,699587.255,213015.489,3640,8,69,0,0
30,2007-06-01,284940.19916,763526.266,234562.55,3922,6,75,0,0
31,2007-07-01,314082.42006,813468.974,250745.35,3958,4,79,0,0
32,2007-08-01,337477.56439,853642.833,269239.449,4161,4,83,0,0
33,2007-09-01,278785.23927,734216.618,228253.926,3872,4,87,0,0
34,2007-10-01,272778.28354,704019.572,297445.351,3300,10,97,0,0
35,2007-11-01,250328.18099,673641.354,289494.784,2960,2,99,0,0
36,2007-12-01,276161.8065,713434.37,316917.26,3075,4,103,0,0
37,2008-01-01,291039.47268,753071.436,334428.271,3609,1,104,0,0
38,2008-02-01,264467.37144,682877.246,303711.306,3390,3,107,0,0
39,2008-03-01,257244.73118,658865.439,296368.489,3262,4,111,0,0
40,2008-04-01,240798.833,587837.389,257981.018,3351,9,120,0,0
41,2008-05-01,238234.11226,588309.732,203240.5,3684,1,121,0,0
42,2008-06-01,283897.89995,671957.412,226688.881,4250,0,121,0,0
43,2008-07-01,309951.0099,719656.05,246280.889,4218,0,121,0,0
44,2008-08-01,301521.90285,685582.079,235823.342,4208,1,122,0,0
45,2008-09-01,264903.92069,595621.617,209067.915,4004,9,131,0,0
46,2008-10-01,242897.83653,532257.827,255441.09,3244,7,138,0,0
47,2008-11-01,241633.04889,544000.086,256192.235,3300,0,138,0,0
48,2008-12-01,266972.63807,600739.011,273030.039,3494,5,143,0,0
49,2009-01-01,246602.83272,630986.226,215041.614,3596,0,143,0,0
50,2009-02-01,207357.38053,509325.521,167394.829,3372,0,143,0,0
51,2009-03-01,207433.7613,476322.107,161783.957,3419,2,145,0,0
52,2009-04-01,191004.3026,447671.313,142875.196,3337,1,146,0,0
53,2009-05-01,205270.67553,448052.672,153279.255,3626,3,149,0,0
54,2009-06-01,237532.28766,503483.872,171590.683,4100,4,153,0,0
55,2009-07-01,263393.23562,523672.344,186642.104,3944,0,153,0,0
56,2009-08-01,275796.57088,551680.387,193824.558,4152,1,154,0,0
57,2009-09-01,230875.28447,420906.283,160331.866,3776,1,155,0,0
58,2009-10-01,214161.53761,421555.723,162645.15,3273,4,159,0,0
59,2009-11-01,200892.20474,390005.687,157140.021,3090,0,159,0,0
60,2009-12-01,242122.7051,492608.539,194072.507,3425,4,163,0,0
61,2010-01-01,253885.08307,510295.285,207977.85,3551,1,164,1,0
62,2010-02-01,223620.22818,443958.974,179309.244,3217,0,164,1,0
63,2010-03-01,211779.43565,406251.995,167989.195,3198,4,168,1,0
64,2010-04-01,193647.01638,345253.06,143995.847,3284,4,172,1,0
65,2010-05-01,223036.65415,386399.737,165356.867,3789,1,173,1,0
66,2010-06-01,263597.2341,480799.493,194447.829,4159,1,174,1,0
67,2010-07-01,300861.42851,524890.902,215256.078,4341,2,176,1,0
68,2010-08-01,304523.62785,512930.618,213480.17,4317,2,178,1,0
69,2010-09-01,243899.98688,405584.611,172846.308,3990,9,187,1,0
70,2010-10-01,210150.96217,347401.153,146419.467,3222,0,187,1,0
71,2010-11-01,205528.86781,351999.059,151131.676,3195,9,196,1,0
72,2010-12-01,248769.91724,452895.076,194091.628,3613,15,211,1,0
73,2011-01-01,250455.19962,476822.748,198220.992,3514,0,211,1,0
74,2011-02-01,207894.68524,383445.075,161963.979,3262,2,213,1,0
75,2011-03-01,204676.68534,354484.713,156095.311,3201,9,222,1,0
76,2011-04-01,196556.13365,325155.434,145698.036,3363,1,223,1,0
77,2011-05-01,217242.01567,357057.927,158144.977,3948,3,226,1,0
78,2011-06-01,254454.18188,426241.89,183526.568,4275,1,227,1,0
79,2011-07-01,302693.92316,492328.441,210686.207,4351,0,227,1,0
80,2011-08-01,295507.12321,464710.044,202112.217,4302,0,227,1,0
81,2011-09-01,235796.07552,342237.859,160867.283,3934,4,231,1,0
82,2011-10-01,207107.15029,305021.114,146978.456,3170,10,241,1,0
83,2011-11-01,198117.96992,313894.419,145624.846,3175,4,245,1,0
84,2011-12-01,220917.64406,304688.119,153783.182,3303,19,264,1,0
85,2012-01-01,221935.0503,287425.264,144979.403,3145,11,275,1,0
86,2012-02-01,205487.63794,250156.24,131853.87,3015,5,280,1,0
87,2012-03-01,198267.9983,234598.441,121840.98,3196,5,285,1,0
88,2012-04-01,191228.57409,219533.349,112908.477,3343,2,287,1,0
89,2012-05-01,226267.50557,263170.547,139147.666,3966,3,290,1,0
90,2012-06-01,250107.24837,300636.863,154979.384,4209,9,299,1,0
91,2012-07-01,303251.7939,382514.686,193244.2,4289,0,299,1,0
92,2012-08-01,287248.50271,338543.388,177991.892,4188,3,302,1,0
93,2012-09-01,236169.56132,266067.702,145629.955,3888,29,331,1,0
94,2012-10-01,214779.6624,243668.559,137717.594,3283,9,340,1,0
95,2012-11-01,211172.91621,261913.651,146266.272,3357,8,348,1,0
96,2012-12-01,219971.24704,273474.555,151092.085,3111,17,365,1,0
97,2013-01-01,230811.87827,286100.544,158130.015,3321,2,367,1,0
98,2013-02-01,207378.41967,256238.651,140637.843,3103,2,369,1,0
99,2013-03-01,219150.86048,276542.36,146304.089,3365,15,384,1,0
100,2013-04-01,192525.20288,237676.392,125007.487,3323,2,386,1,0
101,2013-05-01,208402.09702,248178.324,134826.99,3801,6,392,1,0
102,2013-06-01,243138.93196,283292.078,155361.382,4020,5,397,1,0
103,2013-07-01,279383.17948,324835.776,172862.688,4203,4,401,1,0
104,2013-08-01,275393.54936,312295.424,164795.73,4042,3,404,1,0
105,2013-09-01,240501.96121,267325.424,144547.574,3990,18,422,1,0
106,2013-10-01,212554.72653,232951.373,131864.019,3323,6,428,1,0
107,2013-11-01,208155.76876,239522.043,134359.701,3292,11,439,1,0
