income,married,kids,nonwhite,female,education,urban,ability
54059.36,0,0,1,1,12,0,94
22571.62,0,0,1,0,9,1,45
10210.18,0,0,0,0,4,0,19
10064.27,0,2,1,1,3,1,21
10314.73,1,2,1,1,5,0,60
12812.52,1,1,1,1,8,1,88
159587.2,1,1,1,0,12,1,81
38627.07,0,0,1,0,9,1,40
63169.81,1,1,1,1,12,0,89
13503.01,0,2,1,1,6,0,5
43360.78,0,4,1,0,10,0,96
18269.04,1,0,0,1,9,0,32
441598.28,1,0,0,0,13,0,67
12403.17,1,0,0,1,7,1,65
35189.77,1,0,1,1,12,1,54
12315.27,1,4,1,0,6,0,92
216020.47,1,0,0,0,13,0,15
12716.23,1,1,1,1,8,0,56
10091.01,0,2,1,1,3,0,5
14391.71,0,0,1,1,9,1,27
230149.09,0,1,1,0,14,0,71
10421.25,0,2,1,0,5,0,45
660202.79,0,0,0,1,16,1,51
188797.32,1,1,1,0,12,0,35
76083.76,0,2,1,0,12,1,78
933997.78,1,2,0,1,16,1,92
309018.01,0,2,0,0,14,0,86
234890.7,1,0,0,0,12,1,97
10615.65,0,1,1,1,5,1,17
10277.59,1,0,1,1,5,0,1
43729.24,1,0,1,1,12,0,78
10238.85,1,0,1,0,4,0,19
475454.48,0,0,0,0,13,0,36
620266.86,0,3,0,0,14,0,69
84828.48,0,2,0,1,14,1,5
14135.85,0,0,1,0,8,1,97
115073.84,0,1,0,1,10,1,59
114180.02,1,1,0,1,14,0,9
13026.15,1,0,0,0,8,1,42
231375.57,0,0,0,0,12,0,84
21187.94,0,1,1,1,8,0,53
22553.63,0,1,1,1,8,1,46
19358.66,1,0,0,1,8,0,76
10696.89,1,0,1,1,5,0,85
10203.52,1,0,0,0,3,1,30
10349.33,1,2,1,0,5,1,35
24288.64,1,2,1,1,9,1,18
15182.09,1,0,0,1,7,0,80
14168.43,1,0,1,0,7,0,48
11215.36,1,1,1,1,6,1,31
626909.87,1,2,0,1,14,1,16
10223.67,1,0,1,1,3,1,49
157408.17,0,0,1,1,13,1,70
71373.11,1,3,0,0,12,0,46
49776.4,0,4,1,1,10,1,33
882677.63,1,1,0,1,14,0,12
215933.51,1,0,0,1,13,0,8
14361.65,1,4,1,0,8,0,25
51152.89,0,0,0,0,9,1,60
16807.19,0,3,1,1,10,1,36
12761.91,0,1,1,1,7,0,26
35297.93,0,0,1,0,7,1,20
12278.69,1,1,1,0,6,1,51
19383.79,1,0,0,1,10,0,37
10135.94,0,0,1,0,4,1,43
15809.62,1,0,0,0,9,0,24
59735.1,0,1,0,1,12,1,11
12335.04,0,0,1,1,7,0,34
10492.76,0,2,0,0,5,1,56
10934.61,1,1,0,1,7,0,53
168094.47,1,0,1,0,9,0,88
396741.86,1,0,0,0,13,1,96
76079.03,0,0,1,0,9,1,84
12490.6,0,0,1,0,8,0,4
32443.36,0,1,1,1,11,0,94
72659.13,1,0,0,0,12,1,94
10005.33,0,2,1,1,-1,1,64
61772.79,0,2,1,1,12,0,37
89884.79,1,1,0,0,12,0,33
14556.88,1,0,0,1,9,0,44
673615.44,1,0,1,1,14,1,91
13095.96,0,0,1,0,8,1,22
27195.56,0,0,0,1,9,0,94
13061.98,1,1,1,0,8,0,53
23527.19,1,0,1,1,9,0,33
38096.2,0,2,1,1,10,0,36
10361.6,1,1,0,0,5,1,37
22941.09,1,0,1,1,11,0,49
138886.37,1,0,1,0,12,1,70
71880.04,1,1,1,1,8,1,13
13196.45,1,0,0,0,6,0,1
952836.97,0,0,1,0,15,1,91
468963.85,1,1,0,1,14,1,14
14106.8,0,2,0,0,7,1,42
21658.3,1,1,1,1,10,0,50
15038.05,1,2,1,0,8,0,66
18158.12,0,1,1,1,10,1,58
15212.24,0,0,0,0,8,0,44
10647.72,1,0,1,1,6,0,59
20273.59,0,2,1,1,9,0,93
39680.67,0,0,0,0,11,1,50
420909.78,1,0,1,1,16,0,80
133675.07,0,2,0,1,14,1,77
15526.46,1,0,1,0,9,0,16
18415.55,0,0,0,0,9,1,36
16521.41,0,0,1,1,9,0,34
65021.8,0,0,0,1,13,1,83
637732.23,0,2,1,0,12,1,64
40410.64,1,2,1,1,12,0,42
484959.53,0,0,1,0,12,0,68
10182.82,1,0,1,0,4,1,33
15480.68,0,0,0,1,9,0,23
190276.45,1,0,0,1,15,1,37
10855.09,1,0,1,0,5,1,65
844079.74,0,0,1,1,16,0,85
315968.31,1,0,1,0,10,1,90
10519.08,1,1,1,1,4,1,29
10313.65,0,2,1,0,4,1,31
10902.58,1,0,1,1,7,1,16
175553.07,1,1,0,0,13,1,99
34768.12,1,2,0,0,10,1,1
24455.38,1,0,1,0,8,1,2
16081.79,1,2,1,0,9,0,7
10943.78,0,0,1,0,7,0,7
688612.72,0,2,0,1,16,0,75
60454.31,1,2,1,0,10,0,25
252252.03,0,0,1,0,13,0,38
29102.79,0,3,1,1,11,0,94
452566.67,0,0,0,0,14,0,83
10272.01,0,1,1,1,4,0,95
733888.29,0,0,0,1,14,0,92
44234.64,1,2,1,1,12,1,74
216683.99,1,2,1,1,12,1,31
10014.44,0,0,1,0,-0,1,49
397157.5,1,0,1,1,14,0,84
275405.25,1,0,1,0,12,1,99
58627.18,1,0,0,1,12,1,13
34840.02,1,0,0,1,11,0,66
13772.55,0,0,1,0,8,0,7
10678.94,1,0,1,0,5,1,10
18926.78,1,2,0,0,8,1,10
11942.21,0,1,1,0,6,0,68
31677.78,0,0,0,1,10,1,61
33147.05,0,0,1,0,11,0,7
10415.51,0,0,1,0,5,0,49
172452.63,0,0,1,0,12,1,39
13491.6,1,0,1,1,7,0,56
13477.15,0,0,1,0,8,1,21
27252.5,0,1,0,0,9,0,49
11110.19,0,1,1,1,7,0,53
18966.15,1,0,0,0,9,0,83
15096.66,0,0,0,0,8,0,42
324449.54,0,0,1,0,13,1,94
827326.62,1,2,0,0,15,1,44
14999.75,1,0,0,1,9,1,71
16489.07,1,0,1,0,9,0,71
25552.77,1,0,1,1,11,0,8
12102.63,0,1,1,0,7,1,7
881637.96,0,0,1,1,15,0,70
11249.51,1,4,0,0,7,1,8
18076.68,1,1,0,0,8,1,69
10478.19,0,3,1,0,5,0,38
10116.83,1,0,1,1,3,0,40
10142.26,1,1,1,0,4,0,12
85583.29,0,2,1,1,12,1,43
17498.26,0,0,1,1,10,0,72
14729.18,1,0,1,0,8,0,22
40143.27,0,2,1,1,11,1,83
10168.11,1,0,1,0,3,1,44
64639.77,1,3,1,0,10,1,0
14781.77,0,0,0,0,8,0,85
82717.99,0,0,0,0,12,1,89
766270.78,0,2,1,1,12,1,59
94575.91,1,0,1,1,12,1,7
13168.13,0,1,1,0,6,1,31
10831.24,0,4,1,1,6,1,19
121867.22,0,2,1,1,8,0,38
21046.86,0,2,1,1,8,0,45
67968.78,1,0,1,0,11,0,84
58818.62,0,1,1,0,10,1,44
13269.26,0,0,1,0,7,0,6
18010.49,0,0,1,1,7,0,24
20113.39,0,1,1,0,10,1,39
25384.31,0,4,1,0,8,1,82
12033.6,0,3,1,0,6,1,65
309251.27,1,1,1,1,11,0,55
229392.14,0,0,0,0,12,1,13
220724.93,1,2,0,1,14,1,95
14729.91,1,4,0,1,8,1,60
13510.51,1,2,1,0,7,1,40
13952.6,1,0,0,1,8,0,32
21338.6,1,0,1,1,10,1,44
13449.47,1,0,0,0,8,0,43
85886.61,1,0,1,0,11,0,96
16709.58,0,0,0,1,10,1,18
11098.96,1,1,0,0,4,1,32
22826.94,1,2,1,1,10,0,11
20350.55,0,0,1,0,8,1,76
93919.89,0,0,1,1,13,1,12
61546.32,1,0,1,1,12,1,31
10175.21,0,3,1,0,3,0,37
23776.63,1,2,1,1,8,1,44
27782.81,1,0,0,0,10,1,49
10977.35,0,0,1,1,4,0,59
100801.98,1,0,1,1,9,0,37
491500.11,0,1,1,0,14,0,41
357429.53,1,0,0,0,12,0,28
11685.2,0,0,1,1,6,0,15
10252.55,0,0,1,1,3,1,30
39109.64,0,0,1,0,11,1,77
334972.26,1,0,0,1,12,0,78
184411.48,1,0,1,0,14,0,44
11767.58,1,3,1,1,7,1,2
25532.94,0,1,1,1,9,1,4
916552.25,1,0,0,0,15,0,55
11842.6,1,0,1,1,8,1,65
12092.28,0,4,1,1,8,0,10
13007.59,0,0,1,1,9,0,21
26918.01,1,0,0,0,10,1,39
11557.27,1,1,0,0,5,1,42
13265.09,0,1,1,1,7,1,39
14044.37,1,0,1,1,9,0,69
55194.88,1,2,0,1,12,1,19
413263.18,0,2,0,1,15,1,7
18654.55,0,3,1,0,9,1,44
14505.12,0,4,1,1,8,0,8
11021.14,1,0,1,1,6,1,32
13602.65,1,2,1,1,8,1,2
16304.13,1,0,1,0,9,1,61
28820.09,0,2,0,0,10,0,4
10921.21,1,4,1,0,5,0,48
113773.19,1,0,1,0,12,1,97
10736.91,1,0,0,1,4,1,70
